Favored Team Cover,Favored Final Spread,Favored Team Rank,Spread,Fav Tempo,Fav ADJO,Fav ADJD,Fav O - PPP,Fav O - EFG%,Fav D - PPP,Fav D - EFG%,Underdog Team Rank,Underdog Tempo,Underdog ADJO,Underdog ADJD,Underdog O - PPP,Underdog O - EFG%,Underdog D - PPP,Underdog D - EFG%,Fav Court_H,Fav Court_N,Favored Team Predicted Win
1,11,9,"Michigan St. -4.1, 70-66 (67%)",75.4,90.24,116.54,114.4,58.06,92.06,42.95,64,70.4,77.6,92.08,96.21333333,49.12,76.56,41.14,0,0,4.1
1,22,10,"Michigan St. -10.0, 87-77 (80%)",73.16,93.852,118.348,114.772,56.336,95.296,43.416,34,73.6,99.12,113.41,110.38,52.56,98.16,50.39,1,0,10
1,4,7,"Florida -1.9, 72-70 (57%)",72.06666667,94.68666667,121.36,118.7666667,55.02,97.04,42.61333333,13,68.08,88.892,107.596,105.048,50.864,90.764,45.684,0,0,1.9
1,26,5,"Michigan St. -12.2, 78-66 (88%)",74.76,92.44,121.004,123.492,60.404,92.644,44.024,49,68.8,91.604,106.14,109.952,52.2,87.248,43.5,1,0,12.2
1,9,4,"Michigan St. -1.8, 74-72 (57%)",72.21818182,89.70363636,121.9127273,122.26,61.45090909,88.94363636,41.88,21,69.12,92.544,108.876,113.628,54.768,89.996,45.2,0,0,1.8
1,18,5,"Michigan St. -10.2, 83-73 (82%)",71.73333333,91.75666667,123.22,119.8366667,60.33666667,91.82,41.96333333,16,68.27272727,95.58,122.8363636,119.7581818,57.26909091,99.19454545,50.62909091,1,0,10.2
1,15,5,"Michigan St. -8.7, 75-66 (81%)",69.92307692,91.70153846,124.8384615,119.8723077,58.39692308,93.52769231,41.65846154,63,67.09230769,96.14461538,102.1569231,93.33076923,44.64615385,102.3030769,52.56,0,0,8.7
1,6,4,"Michigan St. -0.1, 76-75 (50%)",69.22857143,89.98571429,124.2657143,117.8171429,57.34285714,94.10571429,42.30285714,7,66.88571429,88.49428571,114.9371429,107.4142857,50.98285714,93.27142857,43.31428571,0,0,0.1
1,14,3,"Michigan St. -11.2, 81-69 (85%)",69.12,85.752,119.276,113.4826667,55.056,90.98266667,39.964,17,65.55,97.335,121.1175,113.4425,54.0975,100.2175,48.2425,1,0,11.2
1,15,3,"Michigan St. -4.9, 82-77 (67%)",68.5,85.49,118.485,111.51,54.5525,90.11,40.83,24,72.05,97.39,121.635,116.78,59.85,99.925,49.74,0,0,4.9
